EIN,NAME,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
10603214,SAINT FRANCIS HOSPITAL SOUTH LLC,T3,Independent,C1000,Heathcare,Trust,1,50M+,N,86380556,0
10604986,ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10605038,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,376109,0
10608689,INTERNATIONAL FELINE SHOWCASE,T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
10612407,METAMORPHASIS POWERHOUSE COMPANY,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10614724,REACH FOR EXCELLENCE INC,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,318296,0
10622557,INTERNATIONAL ASSOCIATION OF LIONS CLUB,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
10623527,SONS OF CONFEDERATE VETERANS INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
10629331,MAGDALENA OLD TIMERS REUNION ASSOCIATION,T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
10631060,INFRAGARD NATIONAL MEMBERS ALLIANCE INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
10635952,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,44004,1
10637680,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
10637829,HAWAII TRAVEL & TOURISM RESEARCH ASSOCIATION,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
10637920,MEDICAL STAFF OF PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,T6,Independent,C2000,ProductDev,Trust,1,100000-499999,N,323466,1
10638860,CLEAR UP SKIN CARE,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10639038,STAR TOURING AND RIDING SACARMENTO CHAPTER 153,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10641003,SHERIFFS COMMUNITY ORGANIZED POLICING EFFORTS,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
10642634,DOCTORS OFFERING CHARITABLE SERVICES,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10648919,G A P MINISTRIES,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
10655941,MELLOWTONES BIG BAND INC,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10656131,SAI HUMANITARIAN INSTITUTE OF LEARNING AND HEALING,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10656251,RIVERVIEW 2,T7,Independent,C1000,ProductDev,Association,1,0,N,5000,0
10656605,ERASTO R BATONGMALAQUE FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,1
10662680,TIFTON JUDICIAL CIRCUIT SHELTER INC,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,709815,0
10664127,IBEW LOCAL 180 HOLDING COMPANY,T2,Independent,C1000,ProductDev,Trust,1,25000-99999,N,1329410,0
10669807,ORLANDO PARROT HEADS OF CENTRAL FLORIDA INC,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10671224,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10672368,HOLY SPIRIT CHURCH AND INSTITUTE INC,T3,Independent,C7200,Preservation,Trust,1,0,N,5000,1
10681022,K-9 SEARCH AND RESCUE OF ORANGE CITY INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10681362,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
10687111,SOUTHERN CALIFORNIA NATURIST ASSOCIATION,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
10691782,MOSES SONG MINISTRIES,T3,Independent,C1700,Preservation,Trust,1,0,N,5000,1
10692183,VINCI PARK HOME AND SCHOOL CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10693398,CENTER HELPING OBESITY IN CHILDREN END SUCCESSFULLY INC,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,31613,1
10694045,FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION,T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,1549352,0
10698492,FUN RAISERS FOR CHARITY,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,5000,0
10702652,CAFA INC,T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,577113,0
10704382,HIDDEN JEWELS,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,44623,0
10714556,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC,T3,CompanySponsored,C1000,Preservation,Association,1,100000-499999,N,64868,0
10722752,SEHOME PTSA 8-3-100,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,131620,0
10725791,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10728655,APEX PROFESSIONAL SERVICES INC,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,306133,1
10731855,FRESH START YOUTH SERVICES INC,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,66916,1
10739048,ENVIROLOGICAL SERVICES LLC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10741195,METHOW RECYCLES,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,236206,1
10743229,LEAVENWORTH SKI HILL HERITAGE FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10747219,REDWOOD CITY POLICE OFFICERS ASSOCIATION,T5,Independent,C1000,ProductDev,Trust,1,100000-499999,N,393704,1
10751555,PARENTS HELPING PARENTS INC,T3,Family/Parent,C2000,Preservation,Trust,1,0,N,5000,1
10753792,ANYAS CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10757287,UFCW-HAWAII FOOD EMPLOYERS HEALTH AND WELFARE TR FUND,T9,Independent,C1000,ProductDev,Trust,1,10M-50M,N,9955466,1
10757957,DEPARTEMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,25000-99999,N,94869,0
10767844,VETERANS OF FOREIGN WARS OF THE US MENS AUXILIARY OF FLORIDA,T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
10770184,KEITH NIX MINISTRIES,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,6501,1
10782045,HIXSON YOUTH ATHLETIC ASSOCIATION,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10786082,T W MINISTRIES INC,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,5000,1
10787050,CRG MEDICAL FOUNDATION FOR PATIENT SAFETY,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,5000,1
10788363,NORTHEAST MONTANA FORT PECK TRIBAL M A S H UNIT,T3,Independent,C4000,Preservation,Trust,1,0,N,5000,1
10790158,TEAMS IN ACTION,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10792599,TEXAS STATE TEACHERS ASSOCIATION,T5,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
10792931,NATIONAL NETWORK OF ABORTION FUNDS,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10795050,TEXAS LETTERING ARTS COUNCIL,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,36607,1
10796052,GRACE KINGDOM CHURCH,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
10799064,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
10800756,40 WASHINGTON TENT,T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
10801061,FORT WORTH HOPE CENTER,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,484855,1
10809220,NATIVE AMERICAN MISSIONS SUPPORT,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,0
10811961,INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,137272,1
10817613,WALKER MINISTRIES INC,T3,Independent,C7100,Preservation,Trust,1,25000-99999,N,5000,1
10817701,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
10819786,ROTARY CLUB OF APPLE VALLEY FOUNDATION,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,101980,0
10824858,ANIMAL CARE TRUST,T3,Independent,C4000,Preservation,Trust,1,1M-5M,N,4410503,0
10827666,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10831976,BECOMING AN OUTDOORS-WOMAN CALIFORNIA INC,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10832329,TEXAS MASTER NATURALIST,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10833427,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,15477,0
10840977,VFW AUXILIARY DEPARTMENT OF MISSISSIPPI,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10843787,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10844545,COOL WATER MINISTRIES,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10845123,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10845329,CIVITAN INTERNATIONAL,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
10845382,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
10846155,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
10846449,INTERNATIONAL ASSOCIATION OF JEWISH GENEALOGICAL SOCIETIES INC,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
10846459,LOUSIANA GARDEN CLUB FEDERATION INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
10847217,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10848225,YOUTH MEDIA MINDS OF AMERICA,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,24211,1
10850344,SPIRIT KEY INC,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,9868,1
10850944,PROTECTING & ENSURING THEIR SURVIVAL INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10856712,TENNESSEE ORDER OF THE EASTERN STAR,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10856925,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10857765,HILLSIDE COALITION OF LABORERS FOR APALACHICOLA INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10862365,CIVITAN INTERNATIONAL,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
10863368,GUINEA FOWL INTERNATIONAL ASSOCIATION,T3,Independent,C2800,Preservation,Trust,1,0,N,5000,1
10864531,ALABAMA FEDERATION OF WOMENS CLUBS,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10865411,SUSTAINING COMMUNITY LANDS INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10865479,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10865482,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10868003,GOSPEL AT NEW GENERATION,T3,Independent,C1700,Preservation,Trust,1,10000-24999,N,5000,1
10868265,COVENANT OF LOVE UUL CORP,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,5000,1
10868438,INTERNATIONAL FEDERATION OF FLY FISHERS INC,T3,CompanySponsored,C2000,CommunityServ,Trust,1,0,N,5000,1
10868590,VOICES FOR AFRICAN AMERICAN STUDENTS,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10869469,PARAKLETOS,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10874048,INTERNATIONAL RAFTING FEDERATION,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10875323,KNIGHTS OF COLUMBUS,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
10882371,SHERIFFS OFFICE LEAGUE OF VOLUNTEERS,T3,Independent,C6000,Preservation,Trust,1,0,N,5000,1
10882460,AAMA STATE OF OREGON SOCIETY LINN- BENTON CHAPTER,T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
10882484,FEDERAL ASIAN PACIFIC AMERICAN COUNCIL SOUTHWEST,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10885913,COMPASSION IN ACTION CLUB,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10886335,THE LAS VEGAS CHAPTER OF THE SOCIETY INC,T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
10887359,CAJUN FRENCH MUSIC ASSOCIATION OF LOUISIANA INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
10887630,ARIZONA PETROLEUM MARKETERS ASSOCIATION SCHOLARSHIP FOUNDATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10887732,INTERNATIONAL UPPER CERVICAL PATIENT ADVOCATES ASSOCIATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10889332,EXPEDIENTE ROJO PROJECT,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10893582,CULTURALLY YOURS INT L,T3,Independent,C2100,Preservation,Trust,1,1-9999,N,5000,1
10898286,CYPRESS WOODS HIGH SCHOOL ORCHESTRA PARENTS ASSOCIATION,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10899845,SOUTHERN ARIZONA LOGISTICS EDUCATION ORGANIZATION,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10899909,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
10902695,DALLAS AREA REPRODUCTIVE ENDOCRINOLOGIST,T6,Independent,C2000,ProductDev,Trust,1,1-9999,N,5000,1
10903595,JUST MATH INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10908934,GURDWARA DASMESH DARBAR,T3,Independent,C1700,Preservation,Trust,1,25000-99999,N,638229,1
10910501,KNIGHTS OF ST FRANCIS OF ASSISI,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,20520,1
10912758,COTTLE FOUNDATION,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10913802,THE UNITED STATES PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
10913889,YOUNG MEN OF HONOR,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10914371,REGINA SEARCY FOUNDATION INC,T3,Independent,C1238,Preservation,Trust,1,0,N,5000,1
10914547,EDMOND FFA PARENTS CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10914803,LIMPOPO WRITING PROJECT,T3,Independent,C1000,Preservation,Association,1,1-9999,N,5000,1
10919429,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
10919470,A DOLLAR TODAY INC,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,8160,1
10920172,RAINIER EDUCATION ASSOCIATION,T5,Independent,C3000,ProductDev,Trust,1,0,N,5000,0
10920788,HOUSE 2 HOME ENTERPRISE CRESHINDA CLARK,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10923261,DISABLED AMERICAN VETERANS,T4,CompanySponsored,C3000,Preservation,Association,1,0,N,5000,0
10926177,OUT OF THE BOAT SWIM,T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
10930718,SIUSLAW AREA PARTNERSHIP TO PREVENT SUBSTANCE ABUSE,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10931153,DEPT OF GEORGIA LADIES AUXILIARY THE VFW OF THE UNITED STATES,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10932514,HUMBLE ISD EDUCATIONAL SUPPORT GROUPS INC,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,34879,0
10933037,ICTPA-SOUTHERN CALIFORNIA CHAPTER,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,0
10933175,HAZEL WOLF K-8 PTSA 6 15 24,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,205120,0
10933202,FREE WILL MINISTRY,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10933668,GEORGIA ASSOCIATION OF TEACHERS OF FAMILY AND CONSUMER SCIENCES,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10933751,NEW CREATION EVANGELISM,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10936099,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
10942580,WELL DISCIPLESHIP TRAINING SCHOOL INC,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,12829,1
10942588,KINGDOM FELLOWSHIP TABERNACLE,T3,Independent,C7000,Preservation,Trust,1,25000-99999,N,452970,1
10944516,THE@FOUNDATION FOR COMMUNITY DEVELOPMENT AND EMPOWERMENT,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,72961,1
10945185,AMVETS,T19,Independent,C1000,Preservation,Association,1,0,N,5000,1
10947092,BRIER FAMILY AND TEACHER CLUB,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10947364,COMMUNITY COLLEGE PUBLIC RELATIONS ORGANIZATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10947974,KANEOHE OFFICERS SPOUSES CLUB,T4,Independent,C1000,ProductDev,Co-operative,1,0,N,5000,1
10949204,SLOW FOOD USA INC,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
10950466,CORNERSTONE EVANGELICAL COMMUNITY CHURCH,T3,Independent,C7000,ProductDev,Trust,1,10000-24999,N,12860,1
10951573,VFW AUXILIARY DEPT OF HAWAII,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10953706,OR DEAL INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10957717,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10959162,SKYLL,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10960304,DEPARTMENT OF ALABAMA AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10960733,UNIVERSITY OF WYOMING,T3,CompanySponsored,C5000,Preservation,Association,1,0,N,5000,0
10960970,LEGACY LA YOUTH DEVELOPMENT CORPORATION,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,696502,0
10962504,COVENANT WORD MINISTRIES,T3,Independent,C7000,Preservation,Trust,1,0,N,5000,1
10962669,CHILDRENS VOICES FOR CHARITY INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10964184,ANGOLAN ASSOCIATION IN LOUISIANA INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10964993,SOCIETY OF ST VINCENT DE PAUL,T3,CompanySponsored,C7000,Preservation,Association,1,100000-499999,N,259589,0
10965274,CAPITOL LAKE IMPROVEMENT AND PROTECTION ASSOCIATION,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
10966484,GALVESTON FIRST AFRICAN AMERICAN MUSEUM,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
10967102,JEWISH STUDIES INITIATIVE OF NORTH TEXAS,T3,Independent,C7000,Preservation,Trust,1,10000-24999,N,5213,0
10967257,DEPARTMENT OF ALABAMA AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10967342,SOCCER DEALERS ASSOCIATION,T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10968080,ST CATHERINE OF SIENA CUF CHAPTER INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10970424,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
10970789,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
10971360,CAPITAL AREA SUBURAN EXCHANGE,T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,49112,1
10973033,SWEET ADELINES INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
10973441,NEW BEGINNING MINISTRIES INC,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10975096,BROTHER JOHNS MINISTRIES,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10975346,INTERNATIONAL MOUNTAIN BICYCLING ASSOCIATION - COLORADO,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,86584,1
10976744,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
10977153,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
16192565,RUDOLPH & FLORENCE NADBATH CHARITABLE TRUST,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,4108874,1
16231970,BURBANK EMPLOYEES RETIREE MEDICAL TR,T9,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,25175802,1
16233557,MULLINS PATHOLOGY & CYTOLOGY LABORATORY PC EWBPT,T9,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
16269871,INLAND NORTHWEST SHEET METAL LABOR MGT COOP TRUST,T5,Independent,C1000,ProductDev,Co-operative,1,25000-99999,N,132449,1
20154003,CIVITAN INTERNATIONAL,T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
20547041,HILTON MINISTRIES,T3,Independent,C7120,Preservation,Association,1,0,N,5000,1
20549134,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20550024,THETA NU XI MULTICULTURAL SORORITY INC,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
20552790,VISION BROADCASTING OF POPLAR BLUFF,T3,Independent,C7100,Preservation,Trust,1,0,N,5000,1
20552849,FRIENDS REACHING INSPIRING & EDUCATING NEIGHBORS ABOUT DOWN SYN,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,73686,1
20553177,SIGN WITH ME INC,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
20555782,TENN SOC INTERNATIONAL PAIN SPEC,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
20559026,AZLE CARING CENTER,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,723426,1
20562254,SLOW FOOD USA INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
20568487,SONS OF ITALY IN AMERICA,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
20576519,HEMET PUBLIC SAFETY MANAGEMENT ASSOCIATION,T5,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
20584427,NORTHWIND ARTS CENTER,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,521883,1
20587726,WICHITA FALLS HIGHSCHOOL PARENT TEACHER STUDENT ORGANIZATION,T3,Independent,C2000,Preservation,Association,1,0,N,5000,0
20592364,FRIENDS OF ARTS & HUMANITIES INC,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,855350,1
20594382,THE HERITAGE EDUCATION GROUP,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
20597460,SNOHOMISH HIGH SCHOOL PANTHER PARENTS CLUB,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
20597868,INTERNATIONAL SHUFFLEBOARD ASSOCIATION INC,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
20602143,SASSE ALUMNI ASSOCIATION INC,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
20604931,VOLUNTEER SUMMER ENGLISH TEACHERS,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,370941,1
20612084,INFRAGARD NATIONAL MEMBERS ALLIANCE INC,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
20613004,RENTON AREA ATHLETIC ASSOCIATION,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
20613652,TEAM AGAINST DRUGS INC,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,5000,1
20613723,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
20613994,TREASURE COAST HAND SOCIETY,T3,Independent,C1200,Preservation,Association,1,0,N,5000,1
